kodetoko,namatoko
1MD4,ALFAMART ABDULLAH SYAFEI [ABSY]
1Y01,SARONGSONG I [SRO1]
1Y04,MANEMBO NEMBO TENGAH [MNOT]
1Y05,MAUMBI MINUT [MANU]
1Y06,PIERE TENDEAN [PIET]
1Y07,LEMBEAN[LEME]
1Y08,AA MARAMIS [AMIS]
1Y09,MAPANGET RAYA [MPER]
1Y10,JENSUD MANADO [JSMO]
1Y11,MAPANGET TETERUSAN [MATE]
1Y13,GIRIAN BITUNG [GIBI]
1Y14,MALALAYANG [MLYA]
1Y15,PURI KELAPA GADING [PKGA]
1Y17,AIRMADIDI ATAS[AIDI]
1Y1E,POLI. KAIRAGI DUA [POLD]
1Y1F,KAWILEY MINUT [KAWN]
1Y1K,MATUNGKAS RAYA [MATR]
1Y1L,SINDULANG MANADO [SINO]
1Y1M,PAAL EMPAT MANADO [PALE]
1Y1N,TATELI MANDOLANG [TATM]
1Y1O,PANIKI ATAS MINUT [PAMT]
1Y1R,TUMALUNTUNG MINUT [TUUT]
1Y1U,TRANS TATELI BARU [TTRU]
1Y1X,SINGKIL MANADO [ILDO]
1Y1Y,PARIGI TUJUH ATAS [PTUS]
1Y20,17 AGUSTUS [17AS]
1Y21,HASANUDIN MANADO [HSMO]
1Y22,W MONGINSIDI BITUNG [WMBG]
1Y24,SARUNDAJANG BITUNG [SDBI]
1Y25,BABE PALAR MDO [BALA]
1Y26,WATUTUMOU MINUT [WAMI]
1Y27,KOLONGAN MINUT [KOMI]
1Y28,KOLONGAN RAYA MINUT [KRMT]
1Y29,MATUNGKAS MINUT [MTKM]
1Y2C,PARIGI MANADO [PADO]
1Y2H,RAYA SUKUR [RAYS]
1Y2L,RANOMUUT MANADO [ROMA]
1Y2T,MANEMBO NEMBO RAYA [MARU]
1Y2U,RAYA MATUARI [RAYI]
1Y32,MATUNGKAS 2 [MTU2]
1Y33,VETERAN BITUNG [VEBI]
1Y37,KOLONGAN TETEMPANGAN [KOTE]
1Y38,PINELENG [PLEG]
1Y39,TIKALA ARES MDO[TARS]
1Y3F,TRANS KAUDITAN [TRAK]
1Y3G,KAUDITAN SATU [KNST]
1Y3H,GIRIAN WERU [GIRW]
1Y3L,NEW CITRALAND [NECI]
1Y3T,GIRIAN BAWAH/F [GIBA]
1Y40,PANIKI BAWAH MPGT[PBWM]
1Y41,POGIDON [PGDO]
