kodeproduk,namaproduk
CD-004,Cimory Eat Milk Puding Susu Rasa Cokelat 80 g
CD-005,Cimory Eat Milk Puding Susu Rasa Cokelat Hazelnut 80 g
CD-006,Cimory Eat Milk Puding Susu Rasa Marie Biskuit 80 g
KM-068,Kanzler Singles Bakso Gochujang 55 g
S-058,Cimory Susu UHT Cokelat Kotak 750 ml
S-061,Cimory Susu UHT Cokelat Almond Kotak 750 ml
YD-138,Cimory Yogurt Stik Rasa Brown Sugar 40 g
YD-141,Cimory Yogurt Bites Berry Blend 120 g
YD-143,Cimory Yogurt Bites Stroberi Mangga 120 g
YD-098,Cimory Minuman Yogurt Bluberi 240 ml
YD-093,Cimory Minuman Yogurt Stroberi 240 ml
YD-097,Cimory Minuman Yogurt Mix Fruits 240 ml
YD-096,Cimory Minuman Yogurt Leci 240 ml
YD-100,Cimory Minuman Yogurt Mixed Berry 240 ml
YD-099,Cimory Minuman Yogurt Original 240 ml
YD-104,Cimory Minuman Yogurt Low Fat Stroberi & Mangga 240 ml
YD-155,Cimory Minuman Yogurt Tanpa Gula Tambahan Tropical Fruits 240 ml
YD-156,Cimory Minuman Yogurt Tanpa Gula Tambahan Blueberry 240 ml
YD-157,Cimory Minuman Yogurt Tanpa Gula Tambahan Stroberi 240 ml
YD-158,Cimory Minuman Yogurt Mangga 240 ml
YD-065,Cimory Yogurt Squeeze Original 120 g
YD-066,Cimory Yogurt Squeeze Stroberi 120 g
YD-067,Cimory Yogurt Squeeze Bluberi 120 g
YD-091,Cimory Yogurt Squeeze Ketan Mangga 120 g
YD-113,Cimory Yogurt Squeeze Brown Sugar 120 g
YD-144,Cimory Yogurt Bites Stroberi 120 g
YD-145,Cimory Yogurt Bites Bluberi 120 g
YD-139,Cimory Yogurt Bites Yuzu 120 g
YD-142,Cimory Yogurt Bites Stroberi Leci 120 g
YD-124,Cimory Yogurt Stik Rasa Stroberi 40 g
YD-126,Cimory Yogurt Stik Rasa Bluberi 40 g
YD-127,Cimory Yogurt Stik Rasa Original 40 g
YD-136,Cimory Yogurt Stik Rasa Ketan Mangga 40 g
KM-046,Kanzler Singles Sosis Sapi & Ayam Keju 65 g
KM-045,Kanzler Singles Sosis Sapi & Ayam Original 65 g
KM-047,Kanzler Singles Sosis Sapi & Ayam Mini 65 g
KM-053,Kanzler Singles Sosis Sapi & Ayam Pedas 65 g
KM-061,Kanzler Singles Sosis Sapi & Ayam Gochujang 60 g
KM-057,Kanzler Bakso Original 48 g
KM-058,Kanzler Bakso Keju 48 g
KM-060,Kanzler Bakso Pedas 48 g
YD-111,Cimory Minuman Yogurt Mini Blueberry 4 x 65 ml
YD-112,Cimory Minuman Yogurt Mini Stroberi 4 x 65 ml
S-015,Cimory Susu UHT Cokelat 250 ml
S-034,Cimory Susu UHT Bebas Laktosa Kotak 250 ml
S-024,Cimory Susu UHT Cokelat Hazelnut Kotak 250 ml
S-027,Cimory Susu UHT Malt Cokelat Kotak 250 ml
S-025,Cimory Susu UHT Cokelat Almond Kotak 250 ml
S-026,Cimory Susu UHT Cokelat Cashew Kotak 250 ml
S-031,Cimory Susu UHT Biskuit Marie 250 ml
S-018,Cimory Susu UHT Stroberi 250 ml
S-035,Cimory Susu UHT Cokelat Tiramisu 250 ml
S-038,Cimory Susu UHT Choco Mint Kotak 250 ml
S-036,Cimory Susu UHT Peanut Butter Kotak 250 ml
S-016,Cimory Susu UHT Matcha 250 ml
S-022,Cimory Susu UHT Cokelat Kotak 125 ml
S-023,Cimory Susu UHT Stroberi Kotak 125 ml
S-056,Cimory Susu UHT Milk Tea 250 ml
S-057,Cimory Susu UHT Thai Tea 250 ml
KM-065,Kanzler Singles Sosis Sapi & Ayam Keju 65 g
S-045,Cimory Susu UHT Biskuit Marie 250 ml
KM-037,Kanzler Naget Ayam Original 450 g
KM-062,Kanzler Naget Ayam Krispi 450 g
KM-038,Kanzler Naget Ayam Krispi 450 g
KM-052,Kanzler Sosis Sapi Coktail 250 g
KM-054,Kanzler Stik Naget Ayam Krispi 450 g
KM-066,Kanzler Naget Ayam Krispi Pedas 450 g
YD-157,Cimory Minuman Yogurt Tanpa Gula Tambahan Stroberi 240 ml
YD-156,Cimory Minuman Yogurt Tanpa Gula Tambahan Blueberry 240 ml
YD-155,Cimory Minuman Yogurt Tanpa Gula Tambahan Tropical Fruits 240 ml
YD-158,Cimory Minuman Yogurt Mangga 240 ml
